District Code,SchoolCode,FAFSA SchoolName,ERDC SchoolTTL,FAFSA District,ERDC DistrictTTL,Horizons Partner,District,School,Students,Unmatched,Errors,NoSignature,Completed,School District Name,Year,Percent
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,15,15,0,0,10,Federal Way School District,2018-19,0.635
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,36,20,0,0,23,Federal Way School District,2017-18,0.637
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,43,25,0,0,27,Federal Way School District,2020-21,0.639
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,45,26,0,0,19,Federal Way School District,2015-16,0.422222222
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,0,0,0,0,0,Federal Way School District,2022-23,0
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,16,16,0,0,0,Federal Way School District,2014-15,0
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,10,0,0,0,6,Highline School District,2018-19,0.557
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,10,0,0,0,5,Highline School District,2020-21,0.473
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,10,0,0,0,5,Highline School District,2016-17,0.517
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,10,0,0,0,6,Highline School District,2017-18,0.595
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,10,0,0,0,5,Highline School District,2021-22,0.521
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,10,0,0,0,5,Highline School District,2019-20,0.52
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,0,0,0,0,0,Highline School District,2015-16,0
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,0,0,0,0,0,Highline School District,2022-23,0
17401,5116,Career Link,Career Link,Highline School District,Highline,Puget Sound ESD,Highline School District,Career Link,0,0,0,0,0,Highline School District,2014-15,0
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,94,50,0,0,43,Castle Rock School District,2018-19,0.458
