SchoolYear|DistrictCode|DistrictName|FinalCohort|Graduate|CohortYearTTL|Horizons.Partner|DistrictTTL|PSEnrollLevel|Pct|Cohort Enrollment Rate|SchoolTTL|PSOrganizationTTL|Enrollees
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|4 Year|0.1|0.62323607412|District Wide|WWU|23.495999994324
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|2 Year / CTC|0.07|0.096941896|District Wide|Olympic|2.21899999944
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|2 Year / CTC|0.04|0.096941896|District Wide|Other 2Yr/CTC|1.26799999968
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|4 Year|0.01|0.6204281344|District Wide|Other 4Yr|2.028799999488
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.096941896|District Wide|Private/OOS - 2Yr/CTC|0.95099999976
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|4 Year|0.6|0.6204281344|District Wide|Private/OOS - 4Yr|121.72799996928
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.096941896|District Wide|Seattle Central College|0.95099999976
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|4 Year|0.09|0.6204281344|District Wide|UW|18.259199995392
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|4 Year|0.07|0.6204281344|District Wide|WSU|14.201599996416
2023-24|18303|Bainbridge Island School District|327|317|2023|West Sound STEM|Bainbridge Island|4 Year|0.06|0.6204281344|District Wide|WWU|12.172799996928
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.306|District Wide|Bellevue|1.2546
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.306|District Wide|Edmonds|1.2546
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|4 Year|0.1|0.1275|District Wide|EWU|0.52275
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.306|District Wide|Other 2Yr/CTC|1.2546
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|4 Year|0.1|0.1275|District Wide|Other 4Yr|0.52275
