SchoolYear|DistrictCode|DistrictName|StudentGroup|BeginningGrade9|FinalCohort|Graduate|GraduationRate|CohortYearTTL|Horizons.Partner
2019-20|18902|Suquamish Tribal Education Department|All Students||||0.76|2019|West Sound STEM
2018-19|18902|Suquamish Tribal Education Department|All Students|||||2018|West Sound STEM
2017-18|18902|Suquamish Tribal Education Department|All Students||||0.8|2017|West Sound STEM
2016-17|18902|Suquamish Tribal Education Department|All Students||||0.75|2016|West Sound STEM
2015-16|18902|Suquamish Tribal Education Department|All Students|||||2015|West Sound STEM
2014-15|18902|Suquamish Tribal Education Department|All Students|||||2014|West Sound STEM
2020-21|20400|Trout Lake School District|All Students||||0.75|2020|ESD 112
2019-20|20400|Trout Lake School District|All Students||||0.727|2019|ESD 112
2018-19|20400|Trout Lake School District|All Students||||0.769|2018|ESD 112
2017-18|20400|Trout Lake School District|All Students||||0.769|2017|ESD 112
2016-17|20400|Trout Lake School District|All Students||||0.786|2016|ESD 112
2015-16|20400|Trout Lake School District|All Students||||0.769|2015|ESD 112
2014-15|20400|Trout Lake School District|All Students|||||2014|ESD 112
2020-21|17406|Tukwila School District|All Students|225|239|208|0.870292887|2020|Puget Sound ESD
2019-20|17406|Tukwila School District|All Students|201|216|174|0.805555556|2019|Puget Sound ESD
2018-19|17406|Tukwila School District|All Students|196|215|181|0.841860465|2018|Puget Sound ESD
2017-18|17406|Tukwila School District|All Students|194|206|170|0.825242718|2017|Puget Sound ESD
2016-17|17406|Tukwila School District|All Students|194|211|165|0.781990521|2016|Puget Sound ESD
2015-16|17406|Tukwila School District|All Students|210|240|186|0.775|2015|Puget Sound ESD
2014-15|17406|Tukwila School District|All Students|190|199|137|0.688442211|2014|Puget Sound ESD
2020-21|35200|Wahkiakum School District|All Students||||0.91|2020|ESD 112
2019-20|35200|Wahkiakum School District|All Students||||0.89|2019|ESD 112
2018-19|35200|Wahkiakum School District|All Students||||0.83|2018|ESD 112
2017-18|35200|Wahkiakum School District|All Students||||0.91|2017|ESD 112
2016-17|35200|Wahkiakum School District|All Students||||0.893|2016|ESD 112
2015-16|35200|Wahkiakum School District|All Students||||0.83|2015|ESD 112
2014-15|35200|Wahkiakum School District|All Students||||0.906|2014|ESD 112
2020-21|36140|Walla Walla Public Schools|All Students||||0.981|2020|United Way of the Blue Mountains
2019-20|36140|Walla Walla Public Schools|All Students|424|423|397|0.938534279|2019|United Way of the Blue Mountains
2018-19|36140|Walla Walla Public Schools|All Students|429|432|396|0.916666667|2018|United Way of the Blue Mountains
2017-18|36140|Walla Walla Public Schools|All Students|539|544|444|0.816176471|2017|United Way of the Blue Mountains
2016-17|36140|Walla Walla Public Schools|All Students|535|564|484|0.858156028|2016|United Way of the Blue Mountains
2015-16|36140|Walla Walla Public Schools|All Students|525|553|462|0.835443038|2015|United Way of the Blue Mountains
2014-15|36140|Walla Walla Public Schools|All Students|557|545|458|0.840366972|2014|United Way of the Blue Mountains
2020-21|20405|White Salmon Valley School District|All Students||||0.953|2020|ESD 112
2019-20|20405|White Salmon Valley School District|All Students||||0.913|2019|ESD 112
2018-19|20405|White Salmon Valley School District|All Students||||0.95|2018|ESD 112
2017-18|20405|White Salmon Valley School District|All Students||||0.86|2017|ESD 112
2016-17|20405|White Salmon Valley School District|All Students||||0.85|2016|ESD 112
2015-16|20405|White Salmon Valley School District|All Students||||0.85|2015|ESD 112
2014-15|20405|White Salmon Valley School District|All Students|103|97|77|0.793814433|2014|ESD 112
2021-22|18303|Bainbridge Island School District|All Students|376|377|362|0.960212202|2021|West Sound STEM
2021-22|05401|Cape Flattery School District|All Students||||0.93|2021|West Sound STEM
2021-22|08401|Castle Rock School District|All Students||||0.86|2021|ESD 112
2021-22|18401|Central Kitsap School District|All Students|918|920|824|0.895652174|2021|West Sound STEM
2021-22|36250|College Place School District|All Students||||0.954|2021|United Way of the Blue Mountains
2021-22|05313|Crescent School District|All Students||||0.833|2021|West Sound STEM
2021-22|07002|Dayton School District|All Students||||0.77|2021|United Way of the Blue Mountains
2021-22|17210|Federal Way School District|All Students|1588|1632|1458|0.893382353|2021|Puget Sound ESD
2021-22|20401|Glenwood School District|All Students|||||2021|ESD 112
2021-22|17401|Highline School District|All Students|1195|1273|1102|0.865671642|2021|Puget Sound ESD
2021-22|06098|Hockinson School District|All Students||||0.98|2021|ESD 112
2021-22|08402|Kalama School District|All Students||||0.94|2021|ESD 112
2021-22|20402|Klickitat School District|All Students|||||2021|ESD 112
2021-22|20406|Lyle School District|All Students||||0.75|2021|ESD 112
2021-22|25155|Naselle-Grays River Valley School District|All Students||||0.88|2021|ESD 112
2021-22|18400|North Kitsap School District|All Students|458|458|401|0.875545852|2021|West Sound STEM
2021-22|23403|North Mason School District|All Students||||0.821|2021|West Sound STEM
2021-22|25101|Ocean Beach School District|All Students||||0.71|2021|ESD 112
2021-22|05121|Port Angeles School District|All Students|274|280|236|0.842857143|2021|West Sound STEM
2021-22|16050|Port Townsend School District|All Students||||0.892|2021|West Sound STEM
2021-22|36402|Prescott School District|All Students|||||2021|United Way of the Blue Mountains
2021-22|16048|Quilcene School District|All Students||||0.875|2021|West Sound STEM
2021-22|05903|Quileute Tribal School District|All Students|||||2021|West Sound STEM
2021-22|05323|Sequim School District|All Students||||0.854|2021|West Sound STEM
2021-22|18402|South Kitsap School District|All Students|737|707|609|0.861386139|2021|West Sound STEM
2021-22|30303|Stevenson-Carson School District|All Students||||0.87|2021|ESD 112
2021-22|18902|Suquamish Tribal Education Department|All Students|||||2021|West Sound STEM
2021-22|20400|Trout Lake School District|All Students||||0.833|2021|ESD 112
2021-22|17406|Tukwila School District|All Students||||0.856|2021|Puget Sound ESD
2021-22|35200|Wahkiakum School District|All Students||||0.949|2021|ESD 112
2021-22|36140|Walla Walla Public Schools|All Students|389|390|366|0.938461538|2021|United Way of the Blue Mountains
2021-22|20405|White Salmon Valley School District|All Students||||0.94|2021|ESD 112
2022-23|18303|Bainbridge Island School District|All Students|377|377|356|0.944297082|2022|West Sound STEM
2022-23|05401|Cape Flattery School District|All Students||||0.912|2022|West Sound STEM
2022-23|08401|Castle Rock School District|All Students||||0.86|2022|ESD 112
2022-23|18401|Central Kitsap School District|All Students|892|916|821|0.89628821|2022|West Sound STEM
2022-23|36250|College Place School District|All Students||||0.9752|2022|United Way of the Blue Mountains
2022-23|05313|Crescent School District|All Students||||0.824|2022|West Sound STEM
2022-23|07002|Dayton School District|All Students||||0.76|2022|United Way of the Blue Mountains
2022-23|17210|Federal Way School District|All Students|1583|1618|1438|0.888751545|2022|Puget Sound ESD
2022-23|20401|Glenwood School District|All Students|||||2022|ESD 112
2022-23|17401|Highline School District|All Students|1247|1349|1172|0.868791698|2022|Puget Sound ESD
2022-23|06098|Hockinson School District|All Students||||0.963|2022|ESD 112
2022-23|08402|Kalama School District|All Students||||0.87|2022|ESD 112
2022-23|20402|Klickitat School District|All Students|||||2022|ESD 112
2022-23|20406|Lyle School District|All Students||||0.58|2022|ESD 112
2022-23|25155|Naselle-Grays River Valley School District|All Students||||0.857|2022|ESD 112
2022-23|18400|North Kitsap School District|All Students|441|438|401|0.915525114|2022|West Sound STEM
2022-23|23403|North Mason School District|All Students|191|203|167|0.822660099|2022|West Sound STEM
2022-23|25101|Ocean Beach School District|All Students||||0.752|2022|ESD 112
2022-23|05121|Port Angeles School District|All Students|292|292|242|0.828767123|2022|West Sound STEM
2022-23|16050|Port Townsend School District|All Students||||0.86|2022|West Sound STEM
2022-23|36402|Prescott School District|All Students||||0.75|2022|United Way of the Blue Mountains
2022-23|16048|Quilcene School District|All Students||||0.87|2022|West Sound STEM
2022-23|05903|Quileute Tribal School District|All Students||||0.7|2022|West Sound STEM
2022-23|05323|Sequim School District|All Students||||0.746|2022|West Sound STEM
2022-23|18402|South Kitsap School District|All Students|668|674|576|0.854599407|2022|West Sound STEM
2022-23|30303|Stevenson-Carson School District|All Students||||0.67|2022|ESD 112
2022-23|18902|Suquamish Tribal Education Department|All Students||||0.8|2022|West Sound STEM
2022-23|20400|Trout Lake School District|All Students||||0.786|2022|ESD 112
2022-23|17406|Tukwila School District|All Students|179|195|174|0.892307692|2022|Puget Sound ESD
2022-23|35200|Wahkiakum School District|All Students||||0.92|2022|ESD 112
